epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
160,1139.65,0.79564,0.47986,0.97944,0.77134,0.73755,0.78892,0.46383,1.48131,0.88506,1.4779,0.000354988,0.000354988,0.000354988
161,1147.36,0.80599,0.47392,0.98321,0.76502,0.70057,0.77811,0.45615,1.48965,0.89288,1.48603,0.000346736,0.000346736,0.000346736
162,1155.14,0.8002,0.48794,0.98435,0.78375,0.72285,0.78894,0.46026,1.5093,0.89102,1.50559,0.000338484,0.000338484,0.000338484
163,1162.79,0.78399,0.4825,0.98028,0.82204,0.67214,0.78555,0.45936,1.4866,0.89534,1.47902,0.000330233,0.000330233,0.000330233
164,1170.48,0.77954,0.47141,0.97316,0.7829,0.70701,0.78514,0.46122,1.46669,0.90018,1.46286,0.000321981,0.000321981,0.000321981
165,1178.12,0.79335,0.4831,0.97656,0.79008,0.71133,0.78627,0.46791,1.48497,0.87925,1.49528,0.000313729,0.000313729,0.000313729
166,1185.92,0.7862,0.47059,0.97517,0.82652,0.66307,0.78282,0.4676,1.49861,0.89541,1.51088,0.000305478,0.000305478,0.000305478
167,1193.57,0.791,0.47098,0.97834,0.80253,0.71011,0.80199,0.46578,1.49375,0.88038,1.49874,0.000297226,0.000297226,0.000297226
168,1201.3,0.78625,0.46341,0.97685,0.79036,0.70723,0.79373,0.46637,1.51766,0.87147,1.52726,0.000288974,0.000288974,0.000288974
169,1209.05,0.8004,0.47074,0.97991,0.78361,0.70175,0.78866,0.46189,1.50625,0.86478,1.52559,0.000280723,0.000280723,0.000280723
170,1216.8,0.77627,0.45572,0.97455,0.81227,0.67493,0.77693,0.45626,1.49708,0.91453,1.499,0.000272471,0.000272471,0.000272471
171,1224.65,0.78601,0.47823,0.97396,0.77212,0.68889,0.77515,0.44965,1.4947,0.8797,1.51238,0.00026422,0.00026422,0.00026422
172,1232.33,0.77306,0.46442,0.96593,0.79595,0.71402,0.78688,0.46165,1.48414,0.8718,1.49809,0.000255968,0.000255968,0.000255968
173,1240.05,0.76297,0.45119,0.96662,0.80759,0.7125,0.79059,0.46954,1.47896,0.86471,1.48617,0.000247716,0.000247716,0.000247716
174,1247.7,0.76761,0.45464,0.969,0.8117,0.70847,0.79267,0.46635,1.46574,0.84899,1.47007,0.000239465,0.000239465,0.000239465
175,1255.45,0.76299,0.45301,0.973,0.7934,0.7139,0.78718,0.46377,1.4836,0.88598,1.503,0.000231213,0.000231213,0.000231213
176,1263.11,0.75052,0.44519,0.97019,0.80952,0.68786,0.7835,0.4642,1.47688,0.87274,1.49937,0.000222961,0.000222961,0.000222961
177,1270.95,0.7553,0.4551,0.96463,0.80169,0.69205,0.77547,0.45298,1.4976,0.89688,1.51786,0.00021471,0.00021471,0.00021471
178,1278.61,0.78475,0.46527,0.97133,0.76129,0.71642,0.777,0.45608,1.50906,0.90137,1.52656,0.000206458,0.000206458,0.000206458
179,1286.35,0.76995,0.45463,0.96834,0.77743,0.70279,0.78071,0.45724,1.51258,0.88629,1.52625,0.000198206,0.000198206,0.000198206
180,1294,0.75756,0.44615,0.96265,0.80396,0.70678,0.78667,0.46784,1.46965,0.88975,1.47967,0.000189955,0.000189955,0.000189955
181,1301.74,0.7528,0.44412,0.9677,0.8072,0.71473,0.79027,0.47144,1.47794,0.87121,1.49606,0.000181703,0.000181703,0.000181703
182,1309.59,0.73308,0.42928,0.94996,0.81221,0.72198,0.79165,0.46849,1.48108,0.864,1.5022,0.000173451,0.000173451,0.000173451
